set,R2,bias,RMSE,MAE
OOF_uncalibrated,0.9998069592457883,-1107.6675606973777,23435.86049194724,2709.3842691018244
OOF_calibrated,0.9998096907822673,119.85741076025299,23269.46044419048,3190.5668570747875
